Date,Name,Type,Quantity,Price,Price Currency,Fees,Fees Currency,Shares,Amount,Amount Currency,Asset Class
2016-11-09,iShares MDAX® UCITS ETF (DE),Long buy,30.00,175.80,EUR,10.00,EUR,,,,ETFs
2016-11-24,SPDR Russell 3000 US Total Market UCITS ETF,Long buy,150.00,33.50,EUR,10.00,EUR,,,,ETFs
2017-01-11,Netflix Inc,Long buy,10.00,122.77,EUR,10.00,EUR,,,,Equities
2017-02-07,Manganese X Energy Corp,Long buy,"3,246.00",0.21,CAD,10.00,CAD,,,,Equities
2017-02-20,ComStage SDAX® UCITS ETF,Long buy,41.00,96.53,EUR,10.00,EUR,,,,ETFs
2017-02-22,Apple Inc,Long buy,2.00,136.87,USD,--,USD,,,,Equities
2017-02-22,iShares € High Yield Corp Bond UCITS ETF EUR (Dist),Long buy,27.00,107.85,EUR,10.00,EUR,,,,ETFs
2017-02-28,Canopy Growth Corp,Long buy,114.00,8.98,EUR,10.00,EUR,,,,Equities
2017-03-16,iShares € High Yield Corp Bond UCITS ETF EUR (Dist),Dividend,,,,--,,27.00,1.99,EUR,ETFs
2017-04-07,CannaRoyalty Corp,Long buy,244.00,2.07,EUR,10.00,EUR,,,,Equities
2017-04-10,iShares MDAX® UCITS ETF (DE),Long sell,15.00,211.03,EUR,10.00,EUR,,,,ETFs
2017-04-21,Amundi Index Solutions - Amundi CAC 40 UCITS ETF-C,Long buy,110.00,67.04,EUR,10.00,EUR,,,,ETFs
2017-04-27,SPDR Russell 3000 US Total Market UCITS ETF,Long sell,150.00,34.93,EUR,10.00,EUR,,,,ETFs
2017-05-02,iShares MDAX® UCITS ETF (DE),Dividend,,,,--,,15.00,1.12,EUR,ETFs
2017-05-05,Amundi ETF MSCI Spain UCITS ETF,Long buy,14.00,215.12,EUR,10.00,EUR,,,,ETFs
2017-05-05,iShares MSCI France UCITS ETF EUR (Acc),Long buy,91.00,33.21,EUR,10.00,EUR,,,,ETFs
2017-05-11,Apple Inc,Dividend,,,,--,,2.00,0.63,USD,Equities
2017-05-16,Snap Inc,Long buy,53.00,18.92,EUR,10.00,EUR,,,,Equities
2017-06-12,Apple Inc,Long buy,8.00,149.47,USD,--,USD,,,,Equities
2017-07-13,iShares MDAX® UCITS ETF (DE),Long buy,10.00,216.77,EUR,10.00,EUR,,,,ETFs
2017-07-18,Netflix Inc,Long sell,10.00,159.63,EUR,10.00,EUR,,,,Equities
2017-08-10,Apple Inc,Dividend,,,,--,,10.00,0.63,USD,Equities
2017-08-15,Xtrackers MSCI Indonesia Swap UCITS ETF 1C,Long buy,227.00,13.30,EUR,--,EUR,,,,ETFs
2017-08-15,Global X Lithium & Battery Tech ETF,Long buy,108.00,32.12,USD,10.00,USD,,,,ETFs
