Date;Name;Type;Quantity;Price;Price Currency;Fees;Fees Currency;Shares;Amount;Amount Currency;Asset Class;Matched
09.11.16;iShares MDAXŒ¬ UCITS ETF (DE);Long buy;30.00;175.80;EUR;10.00;EUR;;;;ETFs;
24.11.16;SPDR Russell 3000 US Total Market UCITS ETF;Long buy;150.00;33.50;EUR;10.00;EUR;;;;ETFs;
11.01.17;Netflix Inc;Long buy;10.00;122.77;EUR;10.00;EUR;;;;Equities;x
07.02.17;Manganese X Energy Corp;Long buy;3,246.00;0.21;CAD;10.00;CAD;;;;Equities;x
20.02.17;ComStage SDAXŒ¬ UCITS ETF;Long buy;41.00;96.53;EUR;10.00;EUR;;;;ETFs;
22.02.17;Apple Inc;Long buy;2.00;136.87;USD;--;USD;;;;Equities;x
22.02.17;iShares ä‰å High Yield Corp Bond UCITS ETF EUR (Dist);Long buy;27.00;107.85;EUR;10.00;EUR;;;;ETFs;
28.02.17;Canopy Growth Corp;Long buy;114.00;Aug.98;EUR;10.00;EUR;;;;Equities;x
16.03.17;iShares ä‰å High Yield Corp Bond UCITS ETF EUR (Dist);Dividend;;;;--;;27.00;Jan.99;EUR;ETFs;
07.04.17;CannaRoyalty Corp;Long buy;244.00;02.Jul;EUR;10.00;EUR;;;;Equities;x
10.04.17;iShares MDAXŒ¬ UCITS ETF (DE);Long sell;15.00;211.03;EUR;10.00;EUR;;;;ETFs;
21.04.17;Amundi Index Solutions - Amundi CAC 40 UCITS ETF-C;Long buy;110.00;67.04;EUR;10.00;EUR;;;;ETFs;
27.04.17;SPDR Russell 3000 US Total Market UCITS ETF;Long sell;150.00;34.93;EUR;10.00;EUR;;;;ETFs;
02.05.17;iShares MDAXŒ¬ UCITS ETF (DE);Dividend;;;;--;;15.00;01.Dec;EUR;ETFs;
05.05.17;Amundi ETF MSCI Spain UCITS ETF;Long buy;14.00;215.12;EUR;10.00;EUR;;;;ETFs;
05.05.17;iShares MSCI France UCITS ETF EUR (Acc);Long buy;91.00;33.21;EUR;10.00;EUR;;;;ETFs;
11.05.17;Apple Inc;Dividend;;;;--;;2.00;0.63;USD;Equities;x
16.05.17;Snap Inc;Long buy;53.00;18.92;EUR;10.00;EUR;;;;Equities;x
12.06.17;Apple Inc;Long buy;8.00;149.47;USD;--;USD;;;;Equities;x
13.07.17;iShares MDAXŒ¬ UCITS ETF (DE);Long buy;10.00;216.77;EUR;10.00;EUR;;;;ETFs;
18.07.17;Netflix Inc;Long sell;10.00;159.63;EUR;10.00;EUR;;;;Equities;x
10.08.17;Apple Inc;Dividend;;;;--;;10.00;0.63;USD;Equities;x
15.08.17;Xtrackers MSCI Indonesia Swap UCITS ETF 1C;Long buy;227.00;13.30;EUR;--;EUR;;;;ETFs;
15.08.17;Global X Lithium & Battery Tech ETF;Long buy;108.00;32.12;USD;10.00;USD;;;;ETFs;x
15.08.17;Global X MSCI Argentina ETF;Long buy;115.00;30.36;USD;--;USD;;;;ETFs;x
